"_id","_labels","C_1","C_2","C_3","Clause_ID","E_ID","O_1","O_2","O_3","name","编号","_start","_end","_type"
"0",":GB50157-2013-9.8.2:GB50490-2009-7.3.6","","","","","","","","","车站","",,,
"1",":GB50157-2013-25.3.1:GB50490-2009-7.3.6","","","","","","","","","出入口","",,,
"2",":GB50157-2013-25.1.15:GB50490-2009-7.3.6","","","","","","","","","提升高度","",,,
"3",":GB50157-2013-25.1.1:GB50157-2013-25.1.10:GB50157-2013-25.1.15:GB50157-2013-25.1.18:GB50157-2013-25.1.19:GB50157-2013-25.1.3:GB50157-2013-25.1.6:GB50157-2013-25.1.7:GB50157-2013-9.7.4:GB50157-2013-9.7.6:GB50157-2013-9.7.7:GB50490-2009-7.3.6","","","","","","","","","自动扶梯","",,,
"4",":GB50157-2013-9.7.7:GB50490-2009-7.3.6","","","","","","","","","12m","",,,
"5",":GB50157-2013-25.1.15:GB50490-2009-7.3.6","","","","","","","","","6m","",,,
"6",":GB50157-2013-9.7.4:GB50490-2009-7.3.6","","","","","","","","","运行方向","",,,
"7",":GB50157-2013-9.7.4:GB50490-2009-7.3.6","","","","","","","","","上行","",,,
"8",":GB50157-2013-9.7.4:GB50490-2009-7.3.6","","","","","","","","","下行","",,,
"9",":GB50157-2013-9.7.4:GB50490-2009-7.3.6","","","","","","","","","站台","",,,
"10",":GB50157-2013-9.7.4:GB50490-2009-7.3.6","","","","","","","","","站厅","",,,
"11",":GB50157-2013-9.7.4:GB50157-2013-9.7.6:GB50490-2009-7.3.6:复杂节点","","","","","","","","","…与…之间","",,,
"12",":GB50490-2009-7.3.6:复杂节点","","","","","","","","","…与…的高差","",,,
"13",":GB50490-2009-7.3.6:事件节点","[0,1,49]","","","GB50490-2009-7.3.6","","[0,2,5,6]","","","事件1","",,,
"14",":GB50490-2009-7.3.6:事件节点","[0,1,48]","[0,2,5,6]","","GB50490-2009-7.3.6","","","[0,2,5,7]","","事件2","",,,
"15",":GB50490-2009-7.3.6:事件节点","","","","GB50490-2009-7.3.6","","[8,10,12,5,6]","","","事件3","",,,
"16",":GB50490-2009-7.3.6:事件节点","[9,11,50]","[8,10,12,5,6]","","GB50490-2009-7.3.6","","","[8,10,12,5,7]","","事件4","",,,
"17",":GB50157-2013-9.7.4","","","","","","","","","地面","",,,
"18",":GB50157-2013-9.7.4:GB50157-2013-9.7.7","","","","","","","","","楼梯","",,,
"19",":GB50157-2013-9.7.4:顺序节点","","","","","30","","","","顺序1","",,,
"20",":GB50157-2013-9.7.4:事件节点","[8,10,12,5,6]","[8,10,12,5,7]","","GB50157-2013-9.7.4","","","[8,10,29]","","事件1","",,,
"21",":GB50157-2013-9.7.4:事件节点","[8,10,12,5,6]","[8,10,12,5,7]","","GB50157-2013-9.7.4","","","[8,10,12,30]","","事件2","",,,
"22",":GB50157-2013-9.7.4:事件节点","[27,28,12,5,6]","[27,28,12,5,7]","","GB50157-2013-9.7.4","","","[8,10,29]","","事件3","",,,
"23",":GB50157-2013-9.7.4:事件节点","[27,28,12,5,6]","[27,28,12,5,7]","","GB50157-2013-9.7.4","","","[8,10,12,30]","","事件4","",,,
"24",":GB50157-2013-9.7.6","","","","","","","","","扶手带","",,,
"25",":GB50157-2013-9.7.6:GB50157-2013-9.7.7:复杂节点","","","","","","","","","…与…的距离","",,,
"26",":GB50157-2013-9.7.6:GB50157-2013-9.7.7","","","","","4","","","","障碍物","",,,
"27",":GB50157-2013-9.7.6","","","","","1","","","","防碰撞安全装置","",,,
"28",":GB50157-2013-9.7.6:顺序节点","","","","","4","","","","顺序1","",,,
"29",":GB50157-2013-9.7.6:事件节点","[3,4,51,55,53,56]","","","GB50157-2013-9.7.6","","[3,52,54,57]","","","事件1","",,,
"30",":GB50157-2013-9.7.6","","","","","","","","","400mm","",,,
"31",":GB50157-2013-9.7.7","","","","","","","","","工作点","",,,
"32",":GB50157-2013-9.7.7","","","","","","","","","踏步","",,,
"33",":GB50157-2013-9.7.7","","","","","","","","","16m","",,,
"34",":GB50157-2013-9.7.7","","","","","","","","","8m","",,,
"35",":GB50157-2013-9.7.7:顺序节点","","","","","63","","","","顺序1","",,,
"36",":GB50157-2013-9.7.7:顺序节点","","","","","64","","","","顺序2","",,,
"37",":GB50157-2013-9.7.7:顺序节点","","","","","71","","","","顺序3","",,,
"38",":GB50157-2013-9.7.7:事件节点","","","","GB50157-2013-9.7.7","","[60,67,36,60,68,74]","","","事件1","",,,
"39",":GB50157-2013-9.7.7:事件节点","","","","GB50157-2013-9.7.7","","[60,67,63,61,53,75]","","","事件2","",,,
"40",":GB50157-2013-9.7.7:事件节点","[62]","","","GB50157-2013-9.7.7","","[60,67,70,71,69,73]","","","事件3","",,,
"41",":GB50157-2013-25.1.1:GB50157-2013-25.1.10:GB50157-2013-25.1.18:GB50157-2013-25.1.19:GB50157-2013-25.1.7","","","","","","","","","自动人行道","",,,
"42",":GB50157-2013-25.1.19:GB50157-2013-25.2.17","","","","","","","","","安装位置","",,,
"43",":GB50157-2013-25.1.19","","","","","","","","","构造措施","",,,
"44",":GB50157-2013-25.1.19:GB50157-2013-25.2.17","","","","","","","","","结构诱导缝","",,,
"45",":GB50157-2013-25.1.19:GB50157-2013-25.2.17","","","","","","","","","结构变形缝","",,,
"46",":GB50157-2013-25.1.19:事件节点","","","","GB50157-2013-25.1.19","","[80,82]","","","事件1","",,,
"47",":GB50157-2013-25.1.19:事件节点","","","","GB50157-2013-25.1.19","","[80,84]","","","事件2","",,,
"48",":GB50157-2013-25.1.19:事件节点","[80,83]","","","GB50157-2013-25.1.19","","[80,86]","","","事件3","",,,
"49",":GB50157-2013-25.1.19:事件节点","[80,85]","","","GB50157-2013-25.1.19","","[80,86]","","","事件4","",,,
"50",":GB50157-2013-25.1.19:事件节点","","","","GB50157-2013-25.1.19","","[81,82]","","","事件5","",,,
"51",":GB50157-2013-25.1.19:事件节点","","","","GB50157-2013-25.1.19","","[81,84]","","","事件6","",,,
"52",":GB50157-2013-25.1.19:事件节点","[81,83]","","","GB50157-2013-25.1.19","","[81,86]","","","事件7","",,,
"53",":GB50157-2013-25.1.19:事件节点","[81,85]","","","GB50157-2013-25.1.19","","[81,86]","","","事件8","",,,
"54",":GB50157-2013-25.1.1","","","","","","","","","地铁","",,,
"55",":GB50157-2013-25.1.1:GB50157-2013-25.1.3:GB50157-2013-25.3.1","","","","","","","","","选型","",,,
"56",":GB50157-2013-25.1.1","","","","","","","","","公共交通型","",,,
"57",":GB50157-2013-25.1.1:事件节点","","","","GB50157-2013-25.1.1","","[99,101,103]","","","事件1","",,,
"58",":GB50157-2013-25.1.1:事件节点","","","","GB50157-2013-25.1.1","","[100,102,103]","","","事件2","",,,
"59",":GB50157-2013-25.1.3","","","","","","","","","严寒地区","",,,
"60",":GB50157-2013-25.1.3:GB50157-2013-25.3.1","","","","","","","","","室外型","",,,
"61",":GB50157-2013-25.1.3","","","","","","","","","上下平台","",,,
"62",":GB50157-2013-25.1.3","","","","","","","","","防滑措施","",,,
"63",":GB50157-2013-25.1.3","","","","","","","","","防止冰雪积聚设施","",,,
"64",":GB50157-2013-25.1.3:顺序节点","","","","","1","","","","顺序1","",,,
"65",":GB50157-2013-25.1.3:事件节点","[107,101,108]","","","GB50157-2013-25.1.3","","[109,110]","","","事件1","",,,
"66",":GB50157-2013-25.1.3:事件节点","[106,107]","","","GB50157-2013-25.1.3","","[109,111]","","","事件2","",,,
"67",":GB50157-2013-25.1.6","","","","","","","","","事故疏散","",,,
"68",":GB50157-2013-25.1.6:GB50157-2013-25.2.8","","","","","","","","","供电等级","",,,
"69",":GB50157-2013-25.1.6:GB50157-2013-25.2.8","","","","","","","","","一级负荷","",,,
"70",":GB50157-2013-25.1.6:事件节点","[117]","","","GB50157-2013-25.1.6","","[118,119]","","","事件1","",,,
"71",":GB50157-2013-25.1.7","","","","","","","","","机坑","",,,
"72",":GB50157-2013-25.1.7","","","","","","","","","重力流排水","",,,
"73",":GB50157-2013-25.1.7","","","","","","","","","集水坑","",,,
"74",":GB50157-2013-25.1.7","","","","","","","","","排水设施","",,,
"75",":GB50157-2013-25.1.7","","","","","","","","","油水分离设备","",,,
"76",":GB50157-2013-25.1.7:顺序节点","","","","","138","","","","顺序1","",,,
"77",":GB50157-2013-25.1.7:顺序节点","","","","","139","","","","顺序2","",,,
"78",":GB50157-2013-25.1.7:事件节点","","","","GB50157-2013-25.1.7","","[141,139,137]","","","事件1","",,,
"79",":GB50157-2013-25.1.7:事件节点","","","","GB50157-2013-25.1.7","","[140,139,137]","","","事件2","",,,
"80",":GB50157-2013-25.1.7:事件节点","[141,139,136]","[141,138,135]","","GB50157-2013-25.1.7","","","[141,138,134]","","事件3","",,,
"81",":GB50157-2013-25.1.7:事件节点","[140,139,136]","[140,138,135]","","GB50157-2013-25.1.7","","","[140,138,134]","","事件4","",,,
"82",":GB50157-2013-25.1.7:事件节点","","","","GB50157-2013-25.1.7","","[133]","","","事件5","",,,
"83",":GB50157-2013-25.1.10","","","","","","","","","传动设备","",,,
"84",":GB50157-2013-25.1.10","","","","","","","","","阻燃材料","",,,
"85",":GB50157-2013-25.1.10:事件节点","","","","GB50157-2013-25.1.10","","[146,148]","","","事件1","",,,
"86",":GB50157-2013-25.1.10:事件节点","","","","GB50157-2013-25.1.10","","[147,148]","","","事件2","",,,
"87",":GB50157-2013-25.1.15","","","","","","","","","水平梯级","",,,
"88",":GB50157-2013-25.1.15","","","","","","","","","数量","",,,
"89",":GB50157-2013-25.1.15:GB50157-2013-25.2.11","","","","","","","","","额定速度","",,,
"90",":GB50157-2013-25.1.15","","","","","","","","","0.65m/s","",,,
"91",":GB50157-2013-25.1.15","","","","","","","","","0.5m/s","",,,
"92",":GB50157-2013-25.1.15","","","","","","","","","2","",,,
"93",":GB50157-2013-25.1.15","","","","","","","","","3","",,,
"94",":GB50157-2013-25.1.15","","","","","","","","","4","",,,
"95",":GB50157-2013-25.1.15:事件节点","[156,160]","[157,161]","","GB50157-2013-25.1.15","","","[151,152,153]","","事件1","",,,
"96",":GB50157-2013-25.1.15:事件节点","[156,160]","[157,49]","","GB50157-2013-25.1.15","","","[151,152,154]","","事件2","",,,
"97",":GB50157-2013-25.1.15:事件节点","[156,159]","","","GB50157-2013-25.1.15","","[151,152,154]","","","事件3","",,,
"98",":GB50157-2013-25.1.15:事件节点","[156,158]","","","GB50157-2013-25.1.15","","[151,152,155]","","","事件4","",,,
"99",":GB50157-2013-25.1.18","","","","","","","","","支点","",,,
"100",":GB50157-2013-25.1.18:GB50157-2013-25.2.16","","","","","","","","","产品要求","",,,
"101",":GB50157-2013-25.1.18:GB50157-2013-25.2.16","","","","","","","","","预埋件","",,,
"102",":GB50157-2013-25.1.18","","","","","","","","","吊装条件","",,,
"103",":GB50157-2013-25.1.18:复杂节点","","","","","","","","","…按…预留…","",,,
"104",":GB50157-2013-25.1.18:GB50157-2013-25.2.16:复杂节点","","","","","","","","","…按…设置…","",,,
"105",":GB50157-2013-25.1.18:事件节点","[180,182,183,184]","","","GB50157-2013-25.1.18","","[180,185,186,187]","","","事件1","",,,
"106",":GB50157-2013-25.1.18:事件节点","[181,182,183,184]","","","GB50157-2013-25.1.18","","[181,185,186,187]","","","事件2","",,,
"107",":GB50157-2013-25.2.10:GB50157-2013-25.2.11:GB50157-2013-25.2.17:GB50157-2013-25.2.8","","","","","","","","","电梯","",,,
"108",":GB50157-2013-25.2.8","","","","","","","","","消防梯","",,,
"109",":GB50157-2013-25.2.8:事件节点","[192]","","","GB50157-2013-25.2.8","","[193,119]","","","事件1","",,,
"110",":GB50157-2013-25.2.10","","","","","","","","","额定载重","",,,
"111",":GB50157-2013-25.2.10","","","","","","","","","800kg","",,,
"112",":GB50157-2013-25.2.10:事件节点","","","","GB50157-2013-25.2.10","","[194,197]","","","事件1","",,,
"113",":GB50157-2013-25.2.11","","","","","","","","","0.63m/s","",,,
"114",":GB50157-2013-25.2.11:事件节点","","","","GB50157-2013-25.2.11","","[199,200]","","","事件1","",,,
"115",":GB50157-2013-25.2.16","","","","","","","","","电梯井道","",,,
"116",":GB50157-2013-25.2.16","","","","","","","","","预留孔","",,,
"117",":GB50157-2013-25.2.16","","","","","","","","","预留槽","",,,
"118",":GB50157-2013-25.2.16","","","","","","","","","起重吊环","",,,
"119",":GB50157-2013-25.2.16:事件节点","[206,186,187]","[206,186,203]","[206,186,204]","GB50157-2013-25.2.16","","","","[206,186,205]","事件1","",,,
"120",":GB50157-2013-25.2.17:事件节点","[202,82]","","","GB50157-2013-25.2.17","","[202,85]","","","事件1","",,,
"121",":GB50157-2013-9.8.2","","","","","","","","","无障碍电梯","",,,
"122",":GB50157-2013-9.8.2:事件节点","","","","GB50157-2013-9.8.2","","[213]","","","事件1","",,,
"123",":GB50157-2013-25.3.1:GB50157-2013-25.3.5","","","","","","","","","轮椅升降机","",,,
"124",":GB50157-2013-25.3.1:顺序节点","","","","","219","","","","顺序1","",,,
